Date,Industrial_Production_Index_UK,Exchange_Rate_UK,International_Reserves_UK,CPI_Index_UK,Industrial_Production_Index_Germany,Exchange_Rate_Germany,International_Reserves_Germany,CPI_Index_Germany
1983-06-01,65.8418431119772,0.645076999,17510.614370043,42.7421934529314,66.7077781118246,2.5475,49287.5810322741,60.2135815674031
1983-07-01,62.317913480632,0.654064999,17527.9606276797,42.9720621416682,60.3519847629507,2.587599999,49466.2439567121,60.423388886042
1983-08-01,59.4431287813766,0.665710999,17454.9941530053,43.163613833919,58.3001775784467,2.672999999,47893.3909156853,60.6331849028429
1983-09-01,68.623892820934,0.667158999,17512.665323808,43.3551655261698,68.903852988989,2.668099999,48442.0916384693,60.7730564486022
1983-10-01,72.0550874619807,0.667726999,17718.7038714871,43.508411318661,71.5888350468361,2.601699999,49711.9678503135,60.7730564486022
1983-11-01,74.0025222582504,0.676648999,17587.386467442,43.6616571111522,71.091912994339,2.683299999,49293.5497535682,60.9129279943614
1983-12-01,65.7491081216786,0.696984999,17253.8080957146,43.7765859071574,68.406930936492,2.747699999,47700.2872828338,61.0527882382828
1984-01-01,68.9020977918296,0.710017999,17029.103846402,43.7510412428334,65.2250268261479,2.806399999,47094.7942725929,61.2625955569216
1984-02-01,74.6516671903403,0.695129999,17628.0351143044,43.9298316996486,66.9963134971455,2.704999999,50393.5800985069,61.4724028755605
1984-03-01,75.3008121224303,0.686740999,16963.0549796227,44.0703051599778,71.2361806869995,2.596099999,51636.3779839523,61.5423386484401
1984-04-01,66.1200480828729,0.702726999,15908.3979085428,44.6577325688922,66.5715252909786,2.641099999,51257.6316347832,61.6122744213198
1984-05-01,65.0999631895887,0.719860999,15752.7138794884,44.8237506935454,66.7077781118246,2.750399999,49887.8007454188,61.6821988923615
1984-06-01,67.3256029567541,0.725883,15308.9066956782,44.9386794895506,59.9271965567839,2.737,49146.1197747432,61.8920062110003
1984-07-01,61.2978285873478,0.757402,14987.0844606576,44.887601257629,64.663985799135,2.847099999,48302.9372036647,61.8220704381207
1984-08-01,59.4431287813766,0.761356,14984.6226668293,45.3090216386166,60.7767729691176,2.8871,48419.8615856556,61.6821988923615
1984-09-01,68.7166278112325,0.794383,14663.1338661339,45.3984168670242,70.3866042746658,3.0225,45397.0711573159,61.7521346652411
1984-10-01,70.6640626075022,0.820313,14750.4091757919,45.6793637876826,75.6123006976996,3.0685,45579.0179954591,62.1018135296392
1984-11-01,72.1478224522792,0.80537,14781.4653778802,45.8198372480118,73.4242406923496,2.9886,45074.7766843148,62.1717493025188
1984-12-01,64.7290232283945,0.842496,14915.8734475626,45.7815202515258,70.098068889345,3.1015,44489.330749977,62.2416737735606
1985-01-01,68.2529528597397,0.885801,14686.4041363725,45.947538376179,67.4130868314979,3.1677,43515.2317283737,62.5913526379587
1985-02-01,74.929872161236,0.91266,14298.0709008923,46.3002034399852,67.9821427303252,3.2921,42160.4466299749,62.8710957294772
1985-03-01,78.6392717731784,0.894962,13788.9512316207,46.7536378768263,74.4822037718595,3.3092,41586.9569752073,63.0808917462781
1985-04-01,69.458507733621,0.805315999,14278.8586296102,47.7612539300906,70.0339499148292,3.083,42325.9486531018,63.1508275191578
1985-05-01,69.0875677724267,0.800777,14260.1566875186,47.9627815794341,69.3927601696717,3.1139,43260.4679541409,63.1508275191578
1985-06-01,73.1679073455633,0.780799,14661.4362496506,48.0635398557425,69.961816068499,3.063099999,43943.8115689382,63.1508275191578
1985-07-01,65.1926981798873,0.72627,15073.0799601651,47.9627815794341,68.7595852963287,2.9168,45974.8128985278,63.1508275191578
1985-08-01,63.5234683545132,0.72202,15053.3366189017,48.1139300906233,62.7564463072915,2.79,46910.0824935568,62.9410202005189
1985-09-01,73.7243172873547,0.733788,15249.9394552562,48.0635398557425,73.1437201788432,2.8401,47908.7720260829,63.0109559733985
1985-10-01,74.3734622194446,0.702780999,17501.9035300169,48.164298132051,79.0025914752199,2.6444,46237.8367451867,63.0808917462781
1985-11-01,77.9901268410884,0.694505999,17400.1104552014,48.3154466432402,77.0309330088606,2.592799999,49819.2319489042,63.1508275191578
1985-12-01,67.6965429179483,0.691272,17168.9257469244,48.3658257813945,70.5949909418421,2.5145,49941.9453531708,63.2207632920374
1986-01-01,72.3332924328763,0.701973,17366.2962987655,48.4665951544294,69.2565073488258,2.4438,50837.7777201703,63.4305593088383
1986-02-01,72.7969673843691,0.699812,18099.9860258677,48.6681117070464,70.3866042746659,2.3314,52879.0091107796,63.3606348377966
1986-03-01,77.6191868798942,0.682016,18866.9496203886,48.7184908452007,75.3317801841932,2.2638,51391.9104953207,63.1508275191578
1986-04-01,73.0751723552648,0.668419,19556.6486470595,49.222304420196,74.0574155656927,2.274499999,51890.7257841767,63.1508275191578
