Date,International_Reserves_US,CPI_Index_US,Industrial_Production_Index_France,Exchange_Rate_France,International_Reserves_France,CPI_Index_France,Nominal_Exchange_Growth,Real_Exchange_Rate,Real_Exchange_Growth,Real_Exchange_Index,France_Inflation,Industrial_Production_Growth,Industrial_Production_YoY,France_Reserves_Index,US_Inflation,US_Reserves_Index,Variable
1970-11-01,14890.29,18.1605141810227,62.4185140478364,5.55419000455419,4957.44,15.6850129335375,0.0,6.430785028307401,0.001119042904231149,0.08038622680615826,0.003952676013701417,0.0009826400262038515,0.05652549697493581,282.6781620992849,0.005076142131978489,69.32778039025798,
1970-12-01,14486.89,18.2522339496137,63.4091220096558,5.55419000455419,4960.44,15.7313308346091,0.0,6.444233894102584,0.002091325668014399,0.1502299678045413,0.0029530036900742296,0.015870418848167755,0.06373136885386432,282.84922508467616,0.00505050505050364,67.44958818517468,
1971-01-01,14698.99,18.2522339496137,61.4176936328023,5.55419000455419,5345.94,15.8239560787626,0.0,6.406512686153541,-0.005853482131299215,-0.42048373698031055,0.0058879471245829595,-0.03140602351425481,0.03032379647078942,304.83081870744803,0.0,68.43710570301843,
1971-02-01,14533.79,18.2980938339093,63.7052831528801,5.55419000455419,5403.94,15.9011455418888,0.0,6.391431963625783,-0.0023539674806783983,-0.1690967907313124,0.00487801297867585,0.03724642500831443,0.03621262458471808,308.13803642501165,0.002512562814075192,67.66795014456586,
1971-03-01,14341.59,18.3439537182048,64.3384552521873,5.55419000455419,5490.44,15.9628992239877,0.0,6.382662883228153,-0.0013720055924142383,-0.0985577517306226,0.0038835995769122,0.009939083039435026,0.04842735896155648,313.07035250379187,0.0025062656641599013,66.77308514254054,
1971-04-01,14307.13,18.3898136025003,63.7563454189533,5.55419000455419,5561.5,16.0555244681413,0.0,6.361705536265571,-0.0032834801627470434,-0.23586815132655947,0.005802532663641058,-0.00904761904761786,0.024450278962914407,317.12226441775863,0.0024999999999992806,66.61264264529918,
1971-05-01,13810.51,18.4815333710913,61.1828072088658,5.55419000455419,5627.5,16.1635960513118,0.0,6.350687532197958,-0.001731926132827688,-0.12441257292154838,0.006731115099039231,-0.04036520903411822,0.02130923968632792,320.8856500963655,0.004987531172068405,64.30042694651762,
1971-06-01,13503.91,18.6191130239778,63.0618986003583,5.55419000455419,5654.5,16.225339175421,0.0,6.37361662109963,0.003610489224264546,0.2593587829077281,0.0038198878463180375,0.03071273577032274,0.040613414223122035,322.4252169648865,0.007444168734489498,62.87292637616921,
1971-07-01,13282.51,18.6649729082733,56.2195549465542,5.55419000455419,6152.5,16.3025286385472,0.0,6.3590629564840775,-0.002283423287082087,-0.16402926246689184,0.004757340496347462,-0.10850202429149869,0.05017169019458301,350.82167253982914,0.0024630541871915046,61.84210893887262,
1971-08-01,12127.81,18.7108327925689,35.7640111576445,5.55419000455419,7628.43,16.3642823206461,0.0,6.350631114586381,-0.0013259566630172692,-0.09524983594947674,0.003787981819757924,-0.36385104450499495,0.04257219410538804,434.9806698826508,0.0024570024570071958,56.46593506874444,
1971-09-01,12130.21,18.7108327925689,63.9299571236021,5.55419000455419,7309.97,16.4414717837724,0.0,6.320816155640192,-0.0046948025177701025,-0.33725021496194146,0.004716947655499126,0.7875499714448888,0.06935428766655338,416.8217637734214,0.0,56.47710924150646,
1971-10-01,12145.9,18.7566926768644,65.8601107811677,5.55419000455419,7272.29,16.5341075859156,0.0,6.300807856910168,-0.0031654612691384143,-0.22739028732942046,0.005634276746114164,0.030191693290734456,0.056174254831313775,414.6732126769076,0.002450980392156188,56.550160395938185,
1971-11-01,12130.3,18.7566926768644,67.381766310148,5.55419000455419,7493.88,16.5958507100248,0.0,6.277366361304136,-0.0037203952474640367,-0.267253860455579,0.0037342882758180096,0.023104357264692066,0.07951570680628262,427.30849498785454,0.0,56.47752827298505,
1971-12-01,12314.5652264574,18.8484124454554,67.4430410294358,5.39112620655513,8253.03957532277,16.673040173151,-0.029358699984220027,6.094519609584233,-0.029127940157680388,-2.0923998490658806,0.004651130241824619,0.0009093664746895325,0.0636173296827185,470.59652943553607,0.004889975550120829,57.335449720680145,
1972-01-01,13084.0302943402,18.8484124454554,66.4422206144018,5.17357338740616,8410.08517562683,16.7193580742227,-0.04035387242176702,5.832379723537718,-0.04301239520737188,-3.0897869452034064,0.0027780117237579116,-0.014839491217443546,0.08180911207183428,479.55142584572565,0.0,60.91800622187344,
1972-02-01,12534.8188508733,18.9401322140464,66.9119934622749,5.08905852443201,8474.71782317759,16.8119833183762,-0.01633587786342816,5.733258204723929,-0.01699503864842078,-1.2208352568126228,0.005540000025258562,0.007070396557024017,0.0503366463610142,483.2368437269829,0.004866180048660684,58.36092974179886,
1972-03-01,12475.161720429,18.9859920983419,68.0864255819577,5.0415931436875,8469.08474139198,16.8891727815024,-0.009326947315821621,5.667515444802661,-0.011466910711800615,-0.8237232743798061,0.004591335933686436,0.01755189255189271,0.05825396825397022,482.91563979791647,0.002421307506052628,58.083171790935886,
1972-04-01,12472.705664602,19.0318519826374,67.7902644387333,5.03727584147881,8466.98974106617,16.9509264636013,-0.0008563368930504245,5.655660675338228,-0.00209170483607668,-0.1502572052676778,0.003656406556899805,-0.004349782510875033,0.06327086336697096,482.79618079454025,0.0024154589371974122,58.07173662755085,
