Date,International_Reserves_US,CPI_Index_US,Industrial_Production_Index_France,Exchange_Rate_France,International_Reserves_France,CPI_Index_France
1965-04-01,15592.3,14.4000036687907,45.5883911501213,4.93706000393706,6017.18,12.4426859525946
1965-05-01,15420.0,14.4000036687907,45.4658417115457,4.93706000393706,6141.19,12.4764926358021
1965-06-01,15761.8,14.4917234373818,46.4564496733651,4.93706000393706,6151.51,12.6793644090165
1965-07-01,15565.6,14.4917234373818,40.3289777445853,4.93706000393706,6194.02,12.5666578683419
1965-08-01,15850.4,14.4917234373818,26.705565156265,4.93706000393706,6212.51,12.5328511851343
1965-09-01,15721.2,14.4917234373818,45.7007281354822,4.93706000393706,6247.51,12.5666578683419
1965-10-01,15639.4,14.5375833216773,47.9168304830576,4.93706000393706,6252.55,12.5891991764768
1965-11-01,15547.9,14.5375833216773,48.3866033309307,4.93706000393706,6333.37,12.6117404846117
1965-12-01,15450.0,14.5834432059728,48.3253286116429,4.93706000393706,6343.38,12.6568231008816
1966-01-01,15224.5,14.5834432059728,46.1705009833554,4.93706000393706,6359.89,12.7019057171514
1966-02-01,14961.8,14.6751629745638,48.5091527695063,4.93706000393706,6388.39,12.7244470252864
1966-03-01,15025.9,14.7210228588593,48.5091527695063,4.93706000393706,6461.42,12.7469883334213
1966-04-01,14913.9,14.8127426274503,48.2742663455697,4.93706000393706,6579.21,12.7920709496912
1966-05-01,14904.5,14.8127426274503,48.3253286116429,4.93706000393706,6651.88,12.837153565961
1966-06-01,14957.8,14.8586025117459,49.6733724359744,4.93706000393706,6748.87,12.8258881908885
1966-07-01,15148.2,14.9044623960414,44.0054609018532,4.93706000393706,6897.24,12.8709708071583
1966-08-01,15014.6,14.9961821646324,27.6451108520113,4.93706000393706,6943.28,12.8822361822309
1966-09-01,14876.0,14.9961821646324,48.795101459516,4.93706000393706,6878.1,12.9160534234282
1966-10-01,14879.6,15.0879019332234,49.4384860120379,4.93706000393706,6841.13,12.9385947315631
1966-11-01,14715.1,15.0879019332234,50.5516434124329,4.93706000393706,6783.15,12.9724014147706
1966-12-01,14881.7,15.0879019332234,50.4393064270719,4.93706000393706,6732.77,13.0062186559679
1967-01-01,14195.8,15.0879019332234,48.7440391934429,4.93706000393706,6723.79,13.0625666473103
1967-02-01,13997.5,15.0879019332234,49.4997607313257,4.93706000393706,6729.79,13.0738320223829
1967-03-01,13854.6,15.1337618175189,49.7346471552623,4.93706000393706,6719.61,13.1076492635802
1967-04-01,13905.7,15.1796217018144,49.2648743073892,4.93706000393706,6732.23,13.1189146386528
1967-05-01,13942.5,15.22548158611,48.5091527695063,4.93706000393706,6662.54,13.1414559467877
1967-06-01,14274.3,15.2713414704055,50.5516434124329,4.93706000393706,6687.95,13.1414559467877
1967-07-01,14223.6,15.317201354701,43.7705744779167,4.93706000393706,6729.04,13.175273187985
1967-08-01,14604.8,15.3630612389965,28.7480557991917,4.93706000393706,6736.85,13.2203558042549
1967-09-01,14648.6,15.408921123292,49.8469841406232,4.93706000393706,6750.35,13.2654384205247
